citekey,year,title,category,NLI,QA,alignment,atomic_facts,attribution,benchmark,classifier,constraint,context,copy_mechanism,entity_preservation,graph_grounding,human_eval,knowledge_aware,lexical,lexical_constraint,logic_constraint,metric,none,ontology,relations,retrieval_grounding,retrieval_nli,sampling_consistency,semantic,semantic_similarity,survey
basu2023_med_easi_finely,2023,Med-EASi: Finely Annotated Dataset and Models for Controllable Simplification of Medical Texts,01_Core_Clinical_TS,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
horiguchi2025_multimsd_multilingual_medical,2025,MultiMSD: A Corpus for Multilingual Medical Text Simplification from Online Medical References,01_Core_Clinical_TS,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
joseph2023_multilingual_simplification_medical,2023,Multilingual Simplification of Medical Texts,01_Core_Clinical_TS,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
bakker2024_cochrane_auto_aligned,2024,Cochrane-auto: An Aligned Dataset for the Simplification of Biomedical Abstracts,01_Core_Clinical_TS,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0
yao2024_readme_bridging_medical,2024,README: Bridging Medical Jargon and Lay Understanding for Patient Education through Data-Centric NLP,01_Core_Clinical_TS,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
devaraj2021_paragraph_level_simplification,2021,Paragraph-level Simplification of Medical Texts,01_Core_Clinical_TS,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0
devaraj2022_evaluating_factuality_text,2022,Evaluating Factuality in Text Simplification,01_Core_Clinical_TS,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
flores2023_medical_text_simplification,2023,Medical Text Simplification: Optimizing for Readability with Unlikelihood Training and Reranked Beam Search Decoding,01_Core_Clinical_TS,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
phatak2022_medical_text_simplification,2022,Medical Text Simplification Using Reinforcement Learning (TESLEA): Deep Learning-Based Text Simplification Approach,01_Core_Clinical_TS,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0
moramarco2022_more_patient_friendly,2022,Towards More Patient Friendly Clinical Notes through Language Models and Ontologies,01_Core_Clinical_TS,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0
trienes2022_patient_friendly_clinical,2022,Patient-Friendly Clinical Notes: Towards a New Text Simplification Dataset,01_Core_Clinical_TS,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
