citekey,entry_type,author,year,title,venue,doi,url,arxiv,pmid,acl_id,category,collection,tags,task,languages,factuality_mechanism,bangla_relevance,inclusion_role,verification_status,source_note,note
basu2023_med_easi_finely,inproceedings,"Basu, Chandrayee and Vasu, Rosni and Yasunaga, Michihiro and Yang, Qian",2023,Med-EASi: Finely Annotated Dataset and Models for Controllable Simplification of Medical Texts,Proceedings of the AAAI Conference on Artificial Intelligence,10.1609/aaai.v37i12.26649,https://ojs.aaai.org/index.php/AAAI/article/view/26649,,,,01_Core_Clinical_TS,01_Core_Clinical_TS,core;dataset;expert-validated;medical-text-simplification;readability,simplification,en,human_eval,not_applicable,core,doi_structurally_verified_from_source,manual_seed,
horiguchi2025_multimsd_multilingual_medical,inproceedings,"Horiguchi, Koki and Kajiwara, Tomoyuki and Ninomiya, Takashi and Wakamiya, Shoko and Aramaki, Eiji",2025,MultiMSD: A Corpus for Multilingual Medical Text Simplification from Online Medical References,Findings of the Association for Computational Linguistics: ACL 2025,10.18653/v1/2025.findings-acl.481,https://aclanthology.org/2025.findings-acl.481/,,,2025.findings-acl.481,01_Core_Clinical_TS,01_Core_Clinical_TS,core;dataset;medical-text-simplification;multilingual,simplification,de;en;es;fr;it;ja;pt;ru;zh,human_eval,transferable,core,doi_structurally_verified_from_source,manual_seed,
joseph2023_multilingual_simplification_medical,inproceedings,"Joseph, Sebastian and Kazanas, Kathryn and Reina, Keziah and Ramanathan, Vishnesh J. and Xu, Wei and Wallace, Byron C. and Li, Junyi Jessy",2023,Multilingual Simplification of Medical Texts,Proceedings of the 2023 Conference on Empirical Methods in Natural Language Processing,10.18653/v1/2023.emnlp-main.1037,https://aclanthology.org/2023.emnlp-main.1037/,2305.12532,,2023.emnlp-main.1037,01_Core_Clinical_TS,01_Core_Clinical_TS,core;dataset;human-eval;medical-text-simplification;multilingual,simplification,en;es;fr;fa,human_eval,transferable,core,doi_structurally_verified_from_source,manual_seed,
bakker2024_cochrane_auto_aligned,inproceedings,"Bakker, Jan and Kamps, Jaap",2024,Cochrane-auto: An Aligned Dataset for the Simplification of Biomedical Abstracts,"Proceedings of the Third Workshop on Text Simplification, Accessibility and Readability",10.18653/v1/2024.tsar-1.5,https://aclanthology.org/2024.tsar-1.5/,,,2024.tsar-1.5,01_Core_Clinical_TS,01_Core_Clinical_TS,biomedical;core;dataset;readability;synthetic,simplification,en,none,not_applicable,core,doi_structurally_verified_from_source,manual_seed,
yao2024_readme_bridging_medical,inproceedings,"Yao, Zonghai and Kantu, Nandyala Siddharth and Wei, Guanghao and Tran, Hieu and Duan, Zhangqi and Kwon, Sunjae and Yang, Zhichao and Yu, Hong",2024,README: Bridging Medical Jargon and Lay Understanding for Patient Education through Data-Centric NLP,Findings of the Association for Computational Linguistics: EMNLP 2024,10.18653/v1/2024.findings-emnlp.737,https://aclanthology.org/2024.findings-emnlp.737/,,,2024.findings-emnlp.737,01_Core_Clinical_TS,01_Core_Clinical_TS,core;dataset;expert-validated;medical-jargon;patient-education,jargon-definition;explanation,en,human_eval,not_applicable,core,doi_structurally_verified_from_source,manual_seed,
devaraj2021_paragraph_level_simplification,inproceedings,"Devaraj, Ashwin and Marshall, Iain J. and Wallace, Byron C. and Li, Junyi Jessy",2021,Paragraph-level Simplification of Medical Texts,Proceedings of the 2021 Conference of the North American Chapter of the Association for Computational Linguistics: Human Language Technologies,10.18653/v1/2021.naacl-main.395,https://aclanthology.org/2021.naacl-main.395/,,,2021.naacl-main.395,01_Core_Clinical_TS,01_Core_Clinical_TS,core;medical-text-simplification;readability,simplification,en,metric,not_applicable,core,doi_structurally_verified_from_source,manual_seed,
devaraj2022_evaluating_factuality_text,inproceedings,"Devaraj, Ashwin and Sheffield, William and Wallace, Byron C. and Li, Junyi Jessy",2022,Evaluating Factuality in Text Simplification,Proceedings of the 60th Annual Meeting of the Association for Computational Linguistics (Volume 1: Long Papers),10.18653/v1/2022.acl-long.506,https://aclanthology.org/2022.acl-long.506/,,,2022.acl-long.506,01_Core_Clinical_TS,01_Core_Clinical_TS,core;factuality;human-eval;text-simplification,evaluation;simplification,en,human_eval,not_applicable,core,doi_structurally_verified_from_source,manual_seed,
flores2023_medical_text_simplification,inproceedings,"Flores, Lorenzo Jaime Yu and Huang, Heyuan and Shi, Kejian and Chheang, Sophie and Cohan, Arman",2023,Medical Text Simplification: Optimizing for Readability with Unlikelihood Training and Reranked Beam Search Decoding,Findings of the Association for Computational Linguistics: EMNLP 2023,10.18653/v1/2023.findings-emnlp.322,https://aclanthology.org/2023.findings-emnlp.322/,2310.11191,,2023.findings-emnlp.322,01_Core_Clinical_TS,01_Core_Clinical_TS,constrained-decoding;core;medical-text-simplification;readability,simplification,en,lexical_constraint,not_applicable,core,doi_structurally_verified_from_source,manual_seed,
phatak2022_medical_text_simplification,article,"Phatak, Atharva and Savage, Daniel W. and Zhang, Xiaomeng and Masthoff, Judith and Lim, Sue and Granmo, Ole-Christoffer and Gow, Andrew J. and Roy, Deb",2022,Medical Text Simplification Using Reinforcement Learning (TESLEA): Deep Learning-Based Text Simplification Approach,JMIR Medical Informatics,10.2196/38095,https://medinform.jmir.org/2022/11/e38095/,,36399375,,01_Core_Clinical_TS,01_Core_Clinical_TS,core;medical-text-simplification;readability;reinforcement-learning,simplification,en,metric,not_applicable,core,doi_present_needs_crossref_check,manual_seed,
moramarco2022_more_patient_friendly,inproceedings,"Moramarco, Francesco and Papadopoulos Korfiatis, Alex and Perera, Shivali and Juric, Damir and Flann, Jacqueline and Reiter, Ehud and Belz, Anya and Portet, François and Hunter, James",2022,Towards More Patient Friendly Clinical Notes through Language Models and Ontologies,AMIA Annual Symposium Proceedings,,https://pmc.ncbi.nlm.nih.gov/articles/PMC8861686/,,35308976,,01_Core_Clinical_TS,01_Core_Clinical_TS,clinical-notes;core;ontology;readability,simplification,en,ontology,not_applicable,core,pmid_stable_no_doi,manual_seed,
