Dataset,Language,Task,Size_or_Scope,Construction,License_Status,Factuality_Layer,Bangla_Use,Source_URL,Include_Status,Caveat
Med-EASi,English,medical simplification,finely annotated medical simplification,expert/lay annotation,MIT/GitHub; verify,human simplification + readability,transferable,https://ojs.aaai.org/index.php/AAAI/article/view/26649,Core,"Correct cite as Basu et al., AAAI 2023."
MultiMSD,9 languages incl. English,multilingual medical simplification,10k sentence pairs per language,online references aligned,CC-BY-4.0,human-aligned simplification,"transferable, not Bangla",https://aclanthology.org/2025.findings-acl.481/,Core,Does not include Bangla.
MultiCochrane,multilingual,medical simplification,Cochrane-based,automatic + aligned,verify,simplification pairs,transferable,https://aclanthology.org/2023.emnlp-main.1037/,Core,No Bangla.
Cochrane-auto,English,biomedical abstract simplification,aligned abstracts/lay summaries,automatic alignment,MIT/verify,none/human-derived lay summaries,transferable,https://aclanthology.org/2024.tsar-1.5/,Core,Quality depends on alignment.
README,English,medical jargon lay definitions,300k+ mentions/50k+ term-definition pairs,data-centric annotation,CC-BY/verify,lexical/definition layer,transferable,https://aclanthology.org/2024.findings-emnlp.737/,Core,"Lexical only, not full relation factuality."
BanglaHealth,Bangla,health paraphrase,200k paraphrased sentences,translation/paraphrase/backtranslation,CC-BY-4.0,weak paraphrase only,direct,https://www.sciencedirect.com/science/article/pii/S2352340925004299,Include with caveat,Not expert-validated simplification; semantic drift risk.
BanglaCHQ-Summ,Bangla,consumer health question summarization,"2,350 question-summary pairs",human/benchmark,MIT/verify,summary relevance,direct,https://aclanthology.org/2023.banglalp-1.10/,Include,"Summarization, not simplification."
Bangla-HealthNER,Bangla,health NER,"31,783 NER samples",annotated health text,MIT/verify,entity layer,direct,https://aclanthology.org/2023.findings-emnlp.383/,Include,Entity-level only.
Bangla-MedER,Bangla,medical entity recognition,"2,980 annotated texts / 6 entity types",expert/entity annotation,CC-BY/verify,entity layer,direct,https://journals.plos.org/plosone/article?id=10.1371/journal.pone.0342558,Include,Verify final DOI and year.
MedNLI,English clinical,NLI,clinical sentence pairs,expert-annotated,PhysioNet/credentialed,entailment/contradiction,transferable,https://aclanthology.org/W18-5618/,Include,No Bangla medical equivalent.
IndicXNLI,Indic languages incl. Bengali,NLI,translated XNLI-style,translation benchmark,verify,general-domain entailment,direct but not medical,https://aclanthology.org/2022.emnlp-main.755/,Include for gap,General-domain only.
MIMIC-IV,English clinical,EHR notes,large clinical database,real clinical notes,credentialed PhysioNet,source clinical text,English pivot,https://physionet.org/content/mimiciv/,Optional,Requires credentialing; privacy restrictions.
