CiteKey,Reviewer1,Reviewer2,Decision,Task,Architecture,Dataset,Language,Factuality_Method,Readability_Metric,Human_Eval,RoB_Tool,RoB_Judgement,Extracted_Quote,Bangla_Relevance,Notes
horiguchi2025_multimsd_multilingual_medical,,,Include,simplification,,,de;en;es;fr;it;ja;pt;ru;zh,human_eval,,,Custom NLP-Bias,,,transferable,
pavithra2025_bridging_health_literacy,,,Include,simplification,,,en;hi;ta;te,none,,,Custom NLP-Bias,,,transferable,
bakker2024_cochrane_auto_aligned,,,Include,simplification,,,en,none,,,Custom NLP-Bias,,,not_applicable,
rahman2024_health_text_simplification,,,Include,simplification,,,en,human_eval,,,Custom NLP-Bias,,,not_applicable,
yao2024_readme_bridging_medical,,,Include,jargon-definition;explanation,,,en,human_eval,,,Custom NLP-Bias,,,not_applicable,
basu2023_med_easi_finely,,,Include,simplification,,,en,human_eval,,,Custom NLP-Bias,,,not_applicable,
flores2023_medical_text_simplification,,,Include,simplification,,,en,lexical_constraint,,,Custom NLP-Bias,,,not_applicable,
joseph2023_multilingual_simplification_medical,,,Include,simplification,,,en;es;fr;fa,human_eval,,,Custom NLP-Bias,,,transferable,
devaraj2022_evaluating_factuality_text,,,Include,evaluation;simplification,,,en,human_eval,,,Custom NLP-Bias,,,not_applicable,
moramarco2022_more_patient_friendly,,,Include,simplification,,,en,ontology,,,Custom NLP-Bias,,,not_applicable,
phatak2022_medical_text_simplification,,,Include,simplification,,,en,metric,,,Custom NLP-Bias,,,not_applicable,
trienes2022_patient_friendly_clinical,,,Include,simplification,,,de,human_eval,,,Custom NLP-Bias,,,transferable,
devaraj2021_paragraph_level_simplification,,,Include,simplification,,,en,metric,,,Custom NLP-Bias,,,not_applicable,
cardon2020_french_biomedical_text,,,Include,simplification,,,fr,none,,,Custom NLP-Bias,,,transferable,
huang2025_hallucination_language_principles,,,Include,survey,,,en,survey,,,Custom NLP-Bias,,,not_applicable,
chen2024_hallucination_detection_robustly,,,Include,hallucination-detection,,,en,classifier,,,Custom NLP-Bias,,,not_applicable,
liu2024_lost_middle_how,,,Include,evaluation,,,en,context,,,Custom NLP-Bias,,,not_applicable,
ji2023_hallucination_natural_language,,,Include,survey,,,en,survey,,,Custom NLP-Bias,,,not_applicable,
li2023_halueval_hallucination_evaluation,,,Include,evaluation,,,en,benchmark,,,Custom NLP-Bias,,,not_applicable,
manakul2023_selfcheckgpt_zero_resource,,,Include,hallucination-detection,,,en,sampling_consistency,,,Custom NLP-Bias,,,not_applicable,
min2023_factscore_fine_grained,,,Include,factuality-evaluation,,,en,atomic_facts,,,Custom NLP-Bias,,,not_applicable,
rashkin2023_measuring_attribution_natural,,,Include,evaluation,,,en,attribution,,,Custom NLP-Bias,,,not_applicable,
zha2023_alignscore_evaluating_factual,,,Include,factuality-evaluation,,,en,alignment,,,Custom NLP-Bias,,,not_applicable,
dziri2022_evaluating_attribution_dialogue,,,Include,evaluation,,,en,attribution,,,Custom NLP-Bias,,,not_applicable,
laban2022_summac_re_visiting,,,Include,factuality-evaluation,,,en,NLI,,,Custom NLP-Bias,,,not_applicable,
fabbri2021_summeval_re_evaluating,,,Include,evaluation,,,en,human_eval,,,Custom NLP-Bias,,,not_applicable,
gabriel2021_go_figure_meta,,,Include,meta-evaluation,,,en,metric,,,Custom NLP-Bias,,,not_applicable,
goyal2021_annotating_modeling_fine,,,Include,factuality-evaluation,,,en,human_eval,,,Custom NLP-Bias,,,not_applicable,
pagnoni2021_understanding_factuality_abstractive,,,Include,factuality-evaluation,,,en,human_eval,,,Custom NLP-Bias,,,not_applicable,
scialom2021_questeval_summarization_asks,,,Include,evaluation,,,en,QA,,,Custom NLP-Bias,,,not_applicable,
